t_s,rss_mib
1,3937
5,21494
9,33894
12,35553
16,35830
19,36352
23,36925
27,38369
30,38431
34,38328
37,38431
41,41021
45,40264
48,41748
52,40643
56,40120
59,42650
63,41564
67,42967
70,41789
74,40847
77,40120
81,41185
85,41124
88,38072
92,39803
96,40131
99,39004
103,38728
107,38359
110,38461
114,44196
117,41892
121,40571
125,40151
128,39639
132,40366
135,40899
139,39537
143,38902
146,38175
150,38308
153,38502
157,38779
161,39844
164,38646
168,38062
171,40120
175,42015
179,40356
182,39250
186,38953
189,38195
193,38277
196,38287
200,37949
204,37612
207,37437
211,37693
215,38298
218,37949
222,38451
225,44063
229,42711
233,41820
236,40858
240,39629
243,38287
247,38799
251,43315
254,42138
258,44339
261,43837
265,42424
268,42138
272,41339
276,40069
280,39363
284,38676
287,38420
291,37806
295,39014
298,38881
302,38666
